N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
5000.000000,0.031273,0.028987,0.000968,0.001101,0.037269,0.001081,0.000314,0.000306,0.000330,0.005274,0.028193,0.001637,0.009737,0.000048,0.000020,0.000043,0.010631,0.000032,0.000017,0.011201,0.000008,0.006159
10000.000000,0.122850,0.116075,0.002171,0.002312,0.181695,0.003105,0.000564,0.000562,0.000661,0.019232,0.146984,0.003873,0.039109,0.000099,0.000040,0.000092,0.043498,0.000077,0.000037,0.104852,0.000020,0.044442
15000.000000,0.272387,0.260990,0.003364,0.003695,0.435389,0.004039,0.000824,0.000846,0.000962,0.044438,0.370773,0.005881,0.086979,0.000152,0.000059,0.000125,0.096694,0.000108,0.000050,0.250544,0.000028,0.110732
20000.000000,0.476985,0.460407,0.004824,0.005324,0.848354,0.006223,0.001153,0.001152,0.001382,0.076571,0.723448,0.009638,0.166901,0.000235,0.000090,0.000191,0.192019,0.000197,0.000075,0.484493,0.000038,0.232122
25000.000000,0.731923,0.710265,0.006106,0.006349,1.288493,0.008018,0.001365,0.001554,0.001664,0.136455,1.143607,0.011952,0.253794,0.000294,0.000111,0.000212,0.281135,0.000223,0.000083,0.746156,0.000051,0.339399
30000.000000,1.027512,1.007114,0.007728,0.007984,1.853832,0.009842,0.001638,0.001733,0.002108,0.173062,1.635518,0.014466,0.374114,0.000373,0.000120,0.000284,0.414047,0.000242,0.000104,1.056911,0.000070,0.501011
35000.000000,1.459500,1.425407,0.009692,0.009913,2.619414,0.012195,0.002248,0.002280,0.002417,0.242711,2.269963,0.017822,0.518718,0.000429,0.000153,0.000340,0.575460,0.000303,0.000130,1.498336,0.000081,0.697517
40000.000000,1.911683,1.921745,0.011205,0.010719,3.607580,0.013575,0.002374,0.002403,0.002708,0.367271,3.147765,0.020356,0.682591,0.000436,0.000151,0.000330,0.766541,0.000357,0.000129,1.938271,0.000103,0.916482
45000.000000,2.427115,2.470002,0.013029,0.012149,4.647111,0.015863,0.002671,0.002791,0.003338,0.421294,4.034754,0.023651,0.884610,0.000528,0.000178,0.000420,0.976302,0.000418,0.000159,2.410252,0.000144,1.230781
50000.000000,2.988090,3.095065,0.015018,0.013695,5.909141,0.018299,0.003097,0.003296,0.003617,0.553245,5.214360,0.027462,1.091983,0.000817,0.000229,0.000432,1.197761,0.000440,0.000172,3.037075,0.000149,1.578118
55000.000000,3.581937,3.777910,0.017806,0.017770,7.355932,0.020466,0.003273,0.003618,0.003764,0.728665,6.562584,0.032094,1.334164,0.000663,0.000288,0.000497,1.475020,0.000524,0.000195,3.682453,0.000200,1.903902
60000.000000,4.298154,4.453013,0.019053,0.017545,9.117209,0.023398,0.003851,0.003898,0.004480,0.767038,7.930506,0.034989,1.591824,0.000711,0.000297,0.000586,1.763497,0.000551,0.000222,4.269552,0.000184,2.396691
65000.000000,5.015250,5.289126,0.020827,0.019376,10.797617,0.038943,0.004235,0.004059,0.006802,1.036599,9.461824,0.038455,1.878280,0.000770,0.000328,0.000632,2.114186,0.000595,0.000242,5.004471,0.000168,2.877030
70000.000000,5.778105,6.262058,0.023026,0.021054,12.621371,0.028415,0.004190,0.004324,0.004904,1.201106,11.173030,0.042560,2.233346,0.000922,0.000302,0.000673,2.443091,0.000660,0.000260,5.983561,0.000186,3.297434
75000.000000,6.654342,7.169538,0.025550,0.023902,15.363619,0.029616,0.004683,0.005189,0.006332,1.456049,13.469301,0.047535,2.567758,0.000977,0.000372,0.000758,2.821799,0.000755,0.000274,6.921642,0.000170,4.010940
80000.000000,7.594747,8.451402,0.028741,0.026939,17.284202,0.031646,0.004936,0.005159,0.005944,1.429755,15.216236,0.047300,2.905485,0.001261,0.000350,0.000751,3.174240,0.000805,0.000284,7.834734,0.000186,4.657409
85000.000000,8.622478,9.535513,0.028559,0.026219,19.012065,0.034988,0.005152,0.005650,0.006266,1.625153,17.295782,0.050291,3.271254,0.001420,0.000352,0.000799,3.599315,0.000827,0.000318,8.725392,0.000200,5.131761
